--------- beginning of system
10-30 21:34:45.589  1437  1672 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1437, uid=1000) to com.safesys.viruskiller/.ScanPackageBroadcast
10-30 21:34:45.618  1437  1437 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@A1E
10-30 21:34:45.619  1437  4170 W BackupTransportManager: Package com.keji.danti672 enabled setting: 0
10-30 21:34:45.621  1437  5486 D CompatibilityChangeReporter: Compat change id reported: 161252188; UID 10225; state: DISABLED
10-30 21:34:45.629  1437  1842 E VerityUtils: Failed to measure fs-verity, errno 1: /data/app/~~7jkhVCRBl4Ft_jNR3kTaiw==/com.keji.danti672-zId5fEXkSmr3y5Bzm4wcqw==/base.apk
10-30 21:34:45.630  1437  1671 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
10-30 21:34:45.660  1437  1846 E PackageManager: ERROR: could not load root hash from incremental install
10-30 21:34:45.672  1437  1846 I PackageManager: Integrity check passed for file:///data/app/vmdl81517619.tmp
10-30 21:34:45.686  1437  1671 W PackageManager: Failed registering loading progress callback. Package is fully loaded.
10-30 21:34:45.692  1437  1671 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
10-30 21:34:45.808  1437  1657 V StorageManagerService: Package null has legacy storage
10-30 21:34:45.813  1437  1437 E NotificationService: Muting recently noisy 0|com.nox.app.cleaner|18065|null|10194
10-30 21:34:45.935  1437  1846 V BackupManagerService: [UserID:0] restoreAtInstall pkg=android.dds.com token=24 restoreSet=0
10-30 21:34:45.935  1437  1846 V BackupManagerService: [UserID:0] Finishing install immediately
10-30 21:34:45.937  1437  1846 D PackageInstallerSession: Marking session 81517619 as applied
10-30 21:34:45.941  1437  1846 D CompatibilityChangeReporter: Compat change id reported: 168419799; UID 10226; state: DISABLED
10-30 21:34:45.941  1437  1846 D CompatibilityChangeReporter: Compat change id reported: 273564678; UID 10226; state: DISABLED
10-30 21:34:45.946  1437  2916 D CompatibilityChangeReporter: Compat change id reported: 218533173; UID 10226; state: DISABLED
10-30 21:34:45.948  1437  5557 W BroadcastQueue: u0 Receiving a broadcast in packagecom.android.buyer requires a permissions review
10-30 21:34:45.948  1437  5557 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1437, uid=1000) to com.android.buyer/.mRve
